# S097 verdict 2 candidates for the mate row that separates
# E21_multicut_mate_band_gate_dropped.
# Regenerate: adocs/data/S097_mine_mate_row.py candidates /
# fires / sweep / pick.
# distance, pv and nodes are stockfish through python-chess, one
# fresh process per position; depths_found is the engine's own
# search_fen() profile over the swept range.
fen	mate_in	nodes	pv_uci	pv_san	depths_found
1kn5/2Q5/1p4p1/1P6/4r1P1/1P3p1q/P4P2/3R2K1 b - - 0 51	4	2959	b8c7 d1c1 c7b7 c1c7 b7c7 a2a3 e4g4	Kxc7 Rc1+ Kb7 Rc7+ Kxc7 a3 Rxg4#	
2r1r1k1/6q1/1pbBp1R1/p2pP3/P1pP3Q/7P/5P2/1R4K1 w - - 1 48	4	6839	g6g7 g8g7 g1h2 e8g8 b1g1 g7f7 h4e7	Rxg7+ Kxg7 Kh2 Rg8 Rg1+ Kf7 Qe7#	
2r2k2/1p3p1b/p2P1Q1p/6p1/3B1p2/P1N2R1P/6PK/2q5 w - - 3 37	4	10188	d6d7 c1h1 h2h1 c8b8 d7d8q b8d8 f6d8	d7 Qh1+ Kxh1 Rb8 d8=Q+ Rxd8 Qxd8#	
2r2k2/6RR/4P1p1/p4p2/3K1P2/P5r1/8/8 w - - 3 48	4	2971	e6e7 f8e8 g7g8 e8d7 e7e8q d7d6 e8d7	e7+ Ke8 Rg8+ Kd7 e8=Q+ Kd6 Qd7#	
3r1rk1/1p4p1/p2p1pP1/3Rp2Q/8/6P1/PPq2PB1/1K5R w - - 0 25	4	5598	b1c2 d8c8 c2b3 c8c3 b2c3 f8c8 h5h8	Kxc2 Rc8+ Kb3 Rc3+ bxc3 Rc8 Qh8#	
3r2nr/Nn1kb3/4pp2/1B1p3q/3B2p1/6p1/P1P5/3Q1RK1 b - - 1 24	4	17781	d7c7 d4b6 c7b8 a7c6 b8a8 b6d8 h5h1	Kc7 Bb6+ Kb8 Nc6+ Ka8 Bxd8 Qh1#	
3r2r1/1p1B1p2/3Rp3/2k1B1p1/4P2p/5P2/6P1/R5K1 w - - 3 37	4	8996	a1c1 c5b4 d6b6 b4a5 b6b5 a5a4 c1a1	Rc1+ Kb4 Rb6+ Ka5 Rb5+ Ka4 Ra1#	
3r4/p1p4k/6p1/8/2N3B1/1P1Q2qP/P7/7K b - - 0 31	4	45052	d8d3 c4d2 d3d2 g4e2 d2e2 b3b4 g3e1	Rxd3 Nd2 Rxd2 Be2 Rxe2 b4 Qe1#	
4r1k1/R2b3p/1B1p2p1/P2PpP2/7Q/3q1PP1/6PK/8 w - - 2 36	4	12732	a7d7 h7h5 h4f6 e8e7 f6e7 d3f5 e7g7	Rxd7 h5 Qf6 Re7 Qxe7 Qxf5 Qg7#	
4rk2/7Q/1pq5/2pR1p2/2P5/3B4/r1P3K1/3R4 w - - 4 48	4	8526	h7f5 f8g7 f5h7 g7f6 d1f1 f6e6 h7e4	Qxf5+ Kg7 Qh7+ Kf6 Rf1+ Ke6 Qe4#	
5k2/2R3R1/4P3/4rK1p/p4p2/6b1/2P5/8 w - - 3 40	4	2135	f5e5 f4f3 g7g3 h5h4 c7f7 f8e8 g3g8	Kxe5 f3+ Rxg3 h4 Rf7+ Ke8 Rg8#	
6k1/1p3rP1/2p2PQ1/4p3/3P4/4PRK1/q7/8 w - - 1 42	4	8874	g6h6 a2f2 f3f2 f7f6 f2f6 e5d4 h6h8	Qh6 Qf2+ Rxf2 Rxf6 Rxf6 exd4 Qh8#	
6k1/5p1p/2R5/p7/5p2/P5qP/1PP3P1/4r1QK b - - 6 33	4	11258	f4f3 c6c8 g8g7 c8g8 g7g8 g2f3 e1g1	f3 Rc8+ Kg7 Rg8+ Kxg8 gxf3 Rxg1#	
6k1/7p/p6Q/4p3/1Pp3r1/5P2/1qB4K/5RR1 w - - 3 35	4	8015	g1g4 g8f7 h6h7 f7e6 g4g6 e6d5 h7d7	Rxg4+ Kf7 Qxh7+ Ke6 Rg6+ Kd5 Qd7#	
6k1/Q2b1pp1/4qb1p/3p1p2/6P1/5P1P/1r4B1/K1R4R b - - 1 34	4	10026	b2b7 a1a2 b7a7 a2b1 a7b7 b1a2 e6a6	Rb7+ Ka2 Rxa7+ Kb1 Rb7+ Ka2 Qa6#	
6k1/p2R1p2/6p1/1p1Q4/8/n3P1P1/5qKP/8 w - - 0 37	4	4221	g2f2 g8g7 d5f7 g7h6 d7d6 b5b4 f7g6	Kxf2 Kg7 Qxf7+ Kh6 Rd6 b4 Qxg6#	
7r/1p3p2/4k2p/3n3P/4p1p1/rPbR4/5PPN/1K5R b - - 0 28	4	6142	e4d3 h1e1 e6d6 e1e6 f7e6 b1c1 a3a1	exd3 Re1+ Kd6 Re6+ fxe6 Kc1 Ra1#	
8/4Ppk1/1pQ5/2pp4/p2P1K2/r1P2P1P/8/8 w - - 1 50	4	13105	f4g5 f7f6 c6f6 g7g8 e7e8q g8h7 f6h6	Kg5 f6+ Qxf6+ Kg8 e8=Q+ Kh7 Qh6#	
8/5Qp1/kpp1p1p1/p5P1/P2PR3/7r/1PPbK3/R6q b - - 5 35	4	8319	h1e4 e2f1 h3h1 f1f2 h1h2 f2g1 e4g2	Qxe4+ Kf1 Rh1+ Kf2 Rh2+ Kg1 Qg2#	
8/8/1P6/P7/5k2/4p2P/2r5/6K1 b - - 0 60	4	6244	f4f3 h3h4 e3e2 g1h2 e2e1q h2h3 e1h1	Kf3 h4 e2 Kh2 e1=Q+ Kh3 Qh1#	
8/8/2R1Q3/5p2/2pp4/3k3P/5KP1/rq6 w - - 1 48	4	5774	e6e2 d3c3 e2c4 c3b2 c6b6 b2a3 c4a6	Qe2+ Kc3 Qxc4+ Kb2 Rb6+ Ka3 Qa6#	
8/8/2p2p1k/p3p3/4P1Q1/2PR4/1r3KP1/8 w - - 1 45	4	3343	f2g1 b2b1 g1h2 b1h1 h2h1 a5a4 d3h3	Kg1 Rb1+ Kh2 Rh1+ Kxh1 a4 Rh3#	
8/8/6B1/6PP/4p3/4kr2/2p3K1/8 b - - 1 80	4	8779	c2c1q g6f5 c1c2 g2g1 f3g3 g1h1 c2g2	c1=Q Bf5 Qc2+ Kg1 Rg3+ Kh1 Qg2#	
8/Q7/5pkp/1p3P1p/1P6/P3p1P1/3r1q2/R6K b - - 0 44	4	4933	f2f5 a7g7 g6g7 h1g1 f5d5 a1f1 d5g2	Qxf5 Qg7+ Kxg7 Kg1 Qd5 Rf1 Qg2#	
8/p3Q2p/p3pn1k/4N3/8/1P5P/q5PK/8 w - - 2 35	4	5244	e7f6 h6h5 e5f3 a2d2 f3d2 h7h6 g2g4	Qxf6+ Kh5 Nf3 Qd2 Nxd2 h6 g4#	
R1q2Q2/1p4pk/1p2p1p1/1n1pP2p/3P3P/2P1B1P1/5PK1/4r3 w - - 6 38	5	5625	f8c8 e1g1 g2g1 g6g5 c8e8 h7h6 h4g5 h6h7 e8h5	Qxc8 Rg1+ Kxg1 g5 Qe8 Kh6 hxg5+ Kh7 Qxh5#	
R6k/1b2p2p/2p3p1/2N1Nn2/5P2/7P/6PK/2rr4 b - - 1 35	4	2914	b7a8 e5f7 h8g7 c5e6 g7f6 e6d8 d1h1	Bxa8 Nf7+ Kg7 Ne6+ Kf6 Ned8 Rh1#	
r2b1R2/pp1N2pk/4p3/1Q1p4/1P6/P7/1q4PP/7K w - - 2 40	4	6176	b5d3 h7h6 f8h8 h6g5 h2h4 g5f4 d3f3	Qd3+ Kh6 Rh8+ Kg5 h4+ Kf4 Qf3#	
r3r2k/6pp/R2p4/1P1P1pb1/2P5/4Qp2/5PqP/2R1K3 b - - 3 30	4	7572	g5e3 e1d1 g2f2 a6a2 a8a2 c1b1 f2e2	Bxe3 Kd1 Qxf2 Ra2 Rxa2 Rb1 Qe2#	
r4rk1/p3np2/7B/7Q/6b1/P1K1p3/4B1RP/1R6 w - - 1 27	4	15640	g2g4 e7g6 g4g6 f7g6 h5g6 g8h8 g6g7	Rxg4+ Ng6 Rxg6+ fxg6 Qxg6+ Kh8 Qg7#	
r5k1/2R2p2/4p3/2n1P1NQ/4q3/6P1/5PK1/8 w - - 2 52	4	5452	g5e4 c5d7 c7d7 a8a7 h5f7 g8h8 f7h7	Nxe4 Nd7 Rxd7 Ra7 Qxf7+ Kh8 Qh7#	
r5k1/pp1Q3p/6p1/2n2p2/2pP4/B3R3/6PP/3R2K1 w - - 1 33	6	55576	d7d5 g8h8 d5c5 h8g7 c5e7 g7g8 e7f6 a7a5 e3e7 a8b8 f6g7	Qd5+ Kh8 Qxc5 Kg7 Qe7+ Kg8 Qf6 a5 Re7 Rb8 Qg7#	
