# S230 candidates for the capture mate row that separates R01.
# Regenerate: adocs/data/S230_mine_r01_row.py pool / label / line / join.
# distance, pv and nodes are stockfish through python-chess, one
# fresh process per position; depths_found is the engine's own
# search_fen() profile over the swept range.
fen	mate_in	nodes	pv_uci	pv_san	captures_on_line	depths_found
6r1/2RR2pk/5P1p/p3N3/8/4b1PK/7r/8 w - - 0 41	5	5103	h3h2 e3g1 h2g2 h7h8 e5g6 h8h7 d7g7 g8g7 c7g7	Kxh2 Bg1+ Kg2 Kh8 Ng6+ Kh7 Rxg7+ Rxg7 Rxg7#	Rxg7+ Rxg7#	d9 d10 d11 d12
6rk/5rqp/p7/2P1p3/P3Q3/7n/1P4P1/R2R3K b - - 1 32	5	9026	h3f2 h1g1 f2e4 d1d2 e4d2 g2g3 g7g3 g1h1 g3g2	Nf2+ Kg1 Nxe4 Rd2 Nxd2 g3 Qxg3+ Kh1 Qg2#	Qxg3+	d9 d10 d11 d12
7k/pR3K1p/6p1/4bp1r/5P2/1B4P1/8/8 w - - 6 54	5	12010	b7e7 h7h6 f7g6 h5g5 f4g5 e5g7 e7e8 g7f8 e8f8	Re7 h6 Kxg6 Rg5+ fxg5 Bg7 Re8+ Bf8 Rxf8#	Rxf8#	none
8/2P3pk/4Bp1p/p1K5/1p6/5P2/7P/8 w - - 0 50	5	914948	e6f7 b4b3 c7c8q h6h5 c8f5 g7g6 f5g6 h7h8 g6g8	Bf7 b3 c8=Q h5 Qf5+ g6 Qxg6+ Kh8 Qg8#	Qxg6+	d12
8/2Q5/6kp/2pP1bp1/2P2P2/3p3P/5PK1/4q3 b - - 2 38	5	109937	f5e4 f2f3 e1e2 g2g1 e2e3 g1g2 e3f3 g2h2 f3f2	Be4+ f3 Qe2+ Kg1 Qe3+ Kg2 Qxf3+ Kh2 Qf2#	Qxf3+	d9 d10 d11 d12
8/5Qk1/p2p4/2pP2q1/2P5/p4p2/6N1/1r2R1K1 b - - 0 61	5	10260	g7f7 g1f2 g5g2 f2e3 b1e1 e3f4 f3f2 f4f5 f2f1q	Kxf7 Kf2 Qxg2+ Ke3 Rxe1+ Kf4 f2 Kf5 f1=Q#	Qxg2+	d11 d12
8/5p1k/3R2p1/pP6/r1q5/4K3/8/8 b - - 1 57	6	26884	c4c3 d6d3 c3e1 e3f3 e1e4 f3g3 e4d3 g3h2 a4a2 h2g1 d3d1	Qc3+ Rd3 Qe1+ Kf3 Qe4+ Kg3 Qxd3+ Kh2 Ra2+ Kg1 Qd1#	Qxd3+	d9 d10 d11 d12
Q7/5pk1/4N3/1p2P1pp/1P1P3b/7K/5q1P/8 b - - 0 42	5	4627	f7e6 a8b7 g7h6 b7e4 f2f1 e4g2 f1f5 g2g4 f5g4	fxe6 Qb7+ Kh6 Qe4 Qf1+ Qg2 Qf5+ Qg4 Qxg4#	Qxg4#	d7 d8 d9
R2Q1bk1/5q2/4bP1p/2p1P3/3pB3/7P/2P3PK/8 w - - 3 50	6	29464	e4g6 e6d7 g6f7 g8f7 d8d7 f7g6 a8f8 h6h5 f8g8 g6h6 d7g7	Bg6 Bd7 Bxf7+ Kxf7 Qxd7+ Kg6 Rxf8 h5 Rg8+ Kh6 Qg7#	Bxf7+ Qxd7+	d9 d10 d12
r1b5/1p3kpp/8/p1PPBpQ1/1n6/6q1/P4RBP/4R1K1 w - - 0 28	5	19091	h2g3 c8e6 g5g7 f7e8 d5e6 a8c8 g7d7 e8f8 d7f7	hxg3 Be6 Qxg7+ Ke8 dxe6 Rc8 Qd7+ Kf8 Qf7#	Qxg7+	d8 d9 d10 d11 d12
